DEP_DELAY(MINS),CRS_ELAPSED_TIME(MINS),NR_PREV_ARR_FLIGHTS(1HR),ARR_DAY_SIN,ARR_DAY_COS,ARR_MIN_OF_DAY_SIN,ARR_MIN_OF_DAY_COS,APPROACH_SPEED(KMH),TAIL_HEIGHT(M),PARKING_AREA(SQM),WINGLETS(YN),TEMP(C),DEWPOINT_TEMP(C),REL_HUMIDITY(PERCENT),WIND_DRCT(DEG),WIND_SPEED(KMH),1HOUR_PRECIPITATION(INCH),SEA_LEVEL_PRESSURE(MILLIBAR),VISIBILITY(MILES),EVENT_BR,EVENT_DZ,EVENT_FG,EVENT_FU,EVENT_GR,EVENT_GS,EVENT_HZ,EVENT_IC,EVENT_RA,EVENT_SN,EVENT_TS,RUNWAY_ERROR(PERC)
-5,154,71,0.0,1.0,-0.898794046299167,0.4383711467890774,261.132,12.624816000000001,1445.0947603121517,0,23.83333333333334,22.22222222222222,90.76,180.0,11.112,0.0,1015.0,8.0,2,0,0,0,0,0,0,0,0,0,0,1.0
22,90,36,0.0,1.0,-0.9978589232386036,0.06540312923014237,261.132,12.624816000000001,1445.0947603121517,0,23.83333333333334,22.22222222222222,90.76,180.0,11.112,0.0,1015.0,8.0,2,0,0,0,0,0,0,0,0,0,0,1.0
